Week,Tier,Player 1,Player 2,Date,Streamer,Match start,Board visibility start,VOD Link,P1 Score,P2 Score,Bingo,Winner
6,B,may,sio,3/29/2025,Matt,337,337,https://youtu.be/G9ukM3mYhnw,10,8,-,may
6,B,CuthBucket,bobbaro,3/28/2025,Spooty,39,39,https://www.youtube.com/watch?v=_7puUG-g9bQ,7,10,-,bobbaro
6,B,Flick,pizzapartytime,3/30/2025,Val1407,319,319,https://www.youtube.com/watch?v=sG7Wbj3Ci0A,12,12,-,Flick
6,B,Ghost,Val1407,3/26/2025,pizzapartytime,445,445,https://www.twitch.tv/videos/2416459842,9,10,-,Val1407
6,C,parchmentEng,Morzis,3/27/2025,Val1407,236,236,https://www.youtube.com/watch?v=gAnA-68gyVk,3,7,-,Morzis
6,C,dahdumbguy,A guy,3/28/2025,Spooty,48,48,https://www.youtube.com/watch?v=3pS6eluWLP8,3,6,P2,A guy
6,C,Smo,WinnerBit,3/21/2025,Val1407,261,334,https://www.youtube.com/watch?v=Q8tQJjeFtMA,7,6,P1,Smo
6,C,amarettosis,Frogmoss10,3/24/2025,Val1407,112,137,https://www.youtube.com/watch?v=-21tTRRSwZ0,4,9,P2,Frogmoss10
7,A,bob salad,Spooty,4/3/2025,amarettosis,311,311,https://www.youtube.com/watch?v=NBF4_YxXxew,3,6,P2,Spooty
7,A,RedRobot,Khana,4/3/2025,Karma,284,284,https://www.youtube.com/watch?v=nuUJQ-pY4dw,12,10,-,RedRobot
7,A,Cosmoing,Peter Peladon,3/31/2025,Sio,232,232,https://www.youtube.com/watch?v=ptSRSjm59ds,7,2,P1,Cosmoing
7,A,Gurizuri,Matt,4/4/2025,Cosmoing,353,353,https://www.youtube.com/watch?v=KximYL-hGtA,8,13,-,Matt
7,A,glove,stnfwds,4/12/2025,Spooty,54,54,https://www.youtube.com/watch?v=Sp-y4tG-WoA,4,8,P2,stnfwds
7,A,Tyler233,Mordaak,4/5/2025,Karma,129,129,https://www.youtube.com/watch?v=InpB2sVSqHY,11,11,-,Tyler233
7,B,Kanvas,bobbaro,4/1/2025,Matt,954,954,https://youtu.be/rKBhdM4ke4M,13,7,-,Kanvas
7,B,tutes,Flick,4/4/2025,Karma,283,283,https://www.youtube.com/watch?v=nuUJQ-pY4dw,8,10,P2,Flick
7,B,may,Marshmallow,4/5/2025,Matt,403,403,https://youtu.be/evR2vxYHTe8,11,11,-,Marshmallow
7,B,Val1407,pizzapartytime,4/4/2025,amarettosis,126,126,https://www.youtube.com/watch?v=c1Xe0VJj7kQ,10,4,P1,Val1407
7,B,boardsofhannahda,Frank,4/5/2025,Kanvas,152,152,https://youtu.be/I9U1AmMSIrA,8,13,-,Frank
7,B,Ghost,Flesh177,4/5/2025,Val1407,412,412,https://www.youtube.com/watch?v=irM-WR7msgw,11,12,-,Flesh177
7,C,amarettosis,Morzis,4/2/2025,Val1407,253,253,https://www.youtube.com/watch?v=_TApkkdEfZY,4,5,P2,Morzis
7,C,Dom,A guy,4/3/2025,Val1407,231,240,https://www.youtube.com/watch?v=Mu8k5uILEY4,9,10,-,A guy
7,C,Frogmoss10,WinnerBit,4/1/2025,Val1407,206,206,https://www.youtube.com/watch?v=CJ0kjIB8_VA,10,9,-,Frogmoss10
7,C,Smo,JoeyBlast,4/5/2025,Sio,250,250,https://www.youtube.com/watch?v=SIJjpioHUxY,10,4,-,Smo
8,A,stnfwds,Cosmoing,4/12/2025,Matt,412,412,https://www.youtube.com/watch?v=110xQ0g3jN0,13,12,-,stnfwds
8,A,Mordaak,Khana,4/12/2025,Spooty,36,36,https://www.youtube.com/watch?v=6y4HUorZCM8,10,13,-,Khana
8,A,Tyler233,Spooty,4/10/2025,Cosmoing,179,179,https://www.youtube.com/watch?v=QyNDZT-pZlc,5,13,-,Spooty
8,A,RedRobot,Gurizuri,4/10/2025,Matt,455,455,https://youtu.be/Eoo7C8cwBPY,11,5,P1,RedRobot
8,A,glove,Peter Peladon,4/9/2025,Val1407,504,504,https://www.youtube.com/watch?v=HGOJrsF3iqU,10,4,P1,glove
8,A,bob salad,Matt,4/9/2025,A guy,341,341,https://youtu.be/p78r9zOK5Rg,10,13,-,Matt
8,B,Ghost,tutes,4/11/2025,Val1407,199,199,https://www.youtube.com/watch?v=j8-mJTfzIus,13,8,-,Ghost
8,B,sio,Val1407,4/12/2025,pizzapartytime,464,464,https://www.twitch.tv/videos/2431477840,10,13,-,Val1407
8,B,pizzapartytime,Frank,4/12/2025,Val1407,519,519,https://www.youtube.com/watch?v=YuiX19wZRcg,2,8,P2,Frank
8,B,may,Hugo,4/13/2025,Kanvas,328,328,https://youtu.be/f1YJ3So6Vzc,13,10,-,may
8,B,KeiperDontCare,bobbaro,4/7/2025,Karma,170,170,https://www.youtube.com/watch?v=qjXQyFg5qDg,8,9,P2,bobbaro
8,B,Flick,Flesh177,4/13/2025,Val1407,267,267,https://www.youtube.com/watch?v=-nC7JfMeG9Q,12,10,-,Flick
8,C,A guy,Saffron,4/10/2025,amarettosis,89,89,https://youtu.be/dbnkwaXD744,11,3,P1,A guy
8,C,Dom,dahdumbguy,4/8/2025,Val1407,484,484,https://www.youtube.com/watch?v=bvSRm-jDun0,11,8,-,Dom
Bye,C,amarettosis,A guy,2/17/2025,Sio,32,32,https://www.youtube.com/watch?v=YLx10F0LgYs,3,7,-,A guy
Bye,C,Dom,JoeyBlast,3/29/2025,Val1407,302,318,https://www.youtube.com/watch?v=Re3CzHjNyZU,9,4,-,Dom
Bye,C,Smo,parchmentEng,3/18/2025,amarettosis,84,84,https://youtu.be/HLYzAjnrZqQ,9,4,-,Smo
Bye,B,Hugo,Flesh177,4/5/2025,A guy,160,160,https://youtu.be/4lvfJENTtZg,11,10,-,Hugo
Bye,B,CuthBucket,Ghost,3/22/2025,Val1407,752,752,https://www.youtube.com/watch?v=ZjzaYQOpPho,8,10,-,Ghost
QTR,A,RedRobot,bob salad,4/15/2025,Karma,136,136,https://www.youtube.com/watch?v=AfQjwpVXIKM,6,5,P1,RedRobot
QTR,A,Spooty,Tyler233,4/18/2025,Karma,175,175,https://youtu.be/hB0WBkUxS3Y,13,10,-,Spooty
QTR,A,stnfwds,Khana,4/20/2025,amarettosis,119,119,https://youtu.be/OfFfwSNquPI,0,8,P2,Khana
QTR,A,Cosmoing,glove,4/16/2025,Matt,536,536,https://youtu.be/-WggVByVAR4,13,11,-,Cosmoing
QTR,B,Frank,Flesh177,4/19/2025,amarettosis,193,193,https://youtu.be/C9RS98IXGIA,10,3,-,Frank
QTR,B,Flick,Marshmallow,4/20/2025,Sio,355,486,https://www.youtube.com/watch?v=LPjr-hUpYjw,13,12,-,Flick
QTR,B,Hugo,may,4/20/2025,Karma,199,199,https://www.youtube.com/watch?v=InyEcO9jV94,10,13,-,may
QTR,B,Kanvas,Val1407,4/19/2025,pizzapartytime,241,241,https://www.twitch.tv/videos/2437392010,10,13,-,Val1407
